id,"created_at","updated_at","resolutions","regions","regions_name","infomation","pre_resolutions"
1,"2017-05-18 22:59:23","2017-05-18 22:59:23","continents","002","Africa",NULL,"001"
2,"2017-05-18 22:59:23","2017-05-18 22:59:23","continents","019","Americas",NULL,"001"
3,"2017-05-18 22:59:23","2017-05-18 22:59:23","continents","142","Asia",NULL,"001"
4,"2017-05-18 22:59:23","2017-05-18 22:59:23","continents","150","Europe",NULL,"001"
5,"2017-05-18 22:59:23","2017-05-18 22:59:23","continents","009","Oceania",NULL,"001"
6,"2017-05-18 22:59:23","2017-05-18 22:59:23","subcontinents","015","NorthernAfrica",NULL,"002"
7,"2017-05-18 22:59:23","2017-05-18 22:59:23","subcontinents","011","WesternAfrica",NULL,"002"
8,"2017-05-18 22:59:23","2017-05-18 22:59:23","subcontinents","017","MiddleAfrica",NULL,"002"
9,"2017-05-18 22:59:23","2017-05-18 22:59:23","subcontinents","014","EasternAfrica",NULL,"002"
10,"2017-05-18 22:59:23","2017-05-18 22:59:23","subcontinents","018","SouthernAfrica",NULL,"002"
11,"2017-05-18 22:59:23","2017-05-18 22:59:23","subcontinents","154","NorthernEurope",NULL,"150 "
12,"2017-05-18 22:59:23","2017-05-18 22:59:23","subcontinents","155","WesternEurope",NULL,"150 "
13,"2017-05-18 22:59:23","2017-05-18 22:59:23","subcontinents","151","EasternEurope",NULL,"150 "
14,"2017-05-18 22:59:23","2017-05-18 22:59:23","subcontinents","039","SouthernEurope",NULL,"150 "
15,"2017-05-18 22:59:23","2017-05-18 22:59:23","subcontinents","021","NorthernAmerica",NULL,"019"
16,"2017-05-18 22:59:23","2017-05-18 22:59:23","subcontinents","029","Caribbean",NULL,"019"
17,"2017-05-18 22:59:23","2017-05-18 22:59:23","subcontinents","013","CentralAmerica",NULL,"019"
18,"2017-05-18 22:59:23","2017-05-18 22:59:23","subcontinents","005","SouthAmerica",NULL,"019"
19,"2017-05-18 22:59:23","2017-05-18 22:59:23","subcontinents","143","CentralAsia",NULL,"142"
20,"2017-05-18 22:59:23","2017-05-18 22:59:23","subcontinents","030","EasternAsia",NULL,"142"
21,"2017-05-18 22:59:23","2017-05-18 22:59:23","subcontinents","034","SouthernAsia",NULL,"142"
22,"2017-05-18 22:59:23","2017-05-18 22:59:23","subcontinents","035","South-EasternAsia",NULL,"142"
23,"2017-05-18 22:59:23","2017-05-18 22:59:23","subcontinents","145","WesternAsia",NULL,"142"
24,"2017-05-18 22:59:23","2017-05-18 22:59:23","subcontinents","053","AustraliaandNewZealand",NULL,"009"
25,"2017-05-18 22:59:23","2017-05-18 22:59:23","subcontinents","054","Melanesia",NULL,"009"
26,"2017-05-18 22:59:23","2017-05-18 22:59:23","subcontinents","057","Micronesia",NULL,"009"
27,"2017-05-18 22:59:23","2017-05-18 22:59:23","subcontinents","061","Polynesia",NULL,"009"
28,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","DZ","Algeria",NULL,"015"
29,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","EG","Egypt",NULL,"015"
30,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","EH","WesternSahara",NULL,"015"
31,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","LY","Libya",NULL,"015"
32,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","MA","Morocco",NULL,"015"
33,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","SD","Sudan",NULL,"015"
34,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","SS","SouthSudan",NULL,"015"
35,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","TN","Tunisia",NULL,"015"
36,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","BF","BurkinaFaso",NULL,"011"
37,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","BJ","Benin",NULL,"011"
38,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","CI","Côted'Ivoire",NULL,"011"
39,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","CV","CaboVerde",NULL,"011"
40,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","GH","Ghana",NULL,"011"
41,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","GM","Gambia",NULL,"011"
42,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","GN","Guinea",NULL,"011"
43,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","GW","Guinea-Bissau",NULL,"011"
44,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","LR","Liberia",NULL,"011"
45,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","ML","Mali",NULL,"011"
46,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","MR","Mauritania",NULL,"011"
47,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","NE","Niger",NULL,"011"
48,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","NG","Nigeria",NULL,"011"
49,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","SH","SaintHelena,AscensionandTristandaCunha",NULL,"011"
50,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","SL","SierraLeone",NULL,"011"
51,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","SN","Senegal",NULL,"011"
52,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","TG","Togo",NULL,"011"
53,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","AO","Angola",NULL,"017"
54,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","CD","Congo,theDemocraticRepublicofthe",NULL,"017"
55,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","CF","CentralAfricanRepublic",NULL,"017"
56,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","CG","Congo",NULL,"017"
57,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","CM","Cameroon",NULL,"017"
58,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","GA","Gabon",NULL,"017"
59,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","GQ","EquatorialGuinea",NULL,"017"
60,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","ST","SaoTomeandPrincipe",NULL,"017"
61,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","TD","Chad",NULL,"017"
62,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","BI","Burundi",NULL,"014"
63,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","DJ","Djibouti",NULL,"014"
64,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","ER","Eritrea",NULL,"014"
65,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","ET","Ethiopia",NULL,"014"
66,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","KE","Kenya",NULL,"014"
67,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","KM","Comoros",NULL,"014"
68,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","MG","Madagascar",NULL,"014"
69,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","MU","Mauritius",NULL,"014"
70,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","MW","Malawi",NULL,"014"
71,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","MZ","Mozambique",NULL,"014"
72,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","RE","Réunion",NULL,"014"
73,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","RW","Rwanda",NULL,"014"
74,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","SC","Seychelles",NULL,"014"
75,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","SO","Somalia",NULL,"014"
76,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","TZ","Tanzania,UnitedRepublicof",NULL,"014"
77,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","UG","Uganda",NULL,"014"
78,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","YT","Mayotte",NULL,"014"
79,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","ZM","Zambia",NULL,"014"
80,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","ZW","Zimbabwe",NULL,"014"
81,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","BW","Botswana",NULL,"018"
82,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","LS","Lesotho",NULL,"018"
83,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","NA","Namibia",NULL,"018"
84,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","SZ","Swaziland",NULL,"018"
85,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","ZA","SouthAfrica",NULL,"018"
86,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","GG","Guernsey",NULL,"154"
87,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","JE","Jersey",NULL,"154"
88,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","AX","ÅlandIslands",NULL,"154"
89,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","DK","Denmark",NULL,"154"
90,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","EE","Estonia",NULL,"154"
91,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","FI","Finland",NULL,"154"
92,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","FO","FaroeIslands",NULL,"154"
93,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","GB","UnitedKingdomofGreatBritainandNorthernIreland",NULL,"154"
94,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","IE","Ireland",NULL,"154"
95,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","IM","IsleofMan",NULL,"154"
96,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","IS","Iceland",NULL,"154"
97,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","LT","Lithuania",NULL,"154"
98,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","LV","Latvia",NULL,"154"
99,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","NO","Norway",NULL,"154"
100,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","SE","Sweden",NULL,"154"
101,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","SJ","SvalbardandJanMayen",NULL,"154"
102,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","AT","Austria",NULL,"155"
103,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","BE","Belgium",NULL,"155"
104,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","CH","Switzerland",NULL,"155"
105,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","DE","Germany",NULL,"155"
106,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","FR","France",NULL,"155"
107,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","LI","Liechtenstein",NULL,"155"
108,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","LU","Luxembourg",NULL,"155"
109,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","MC","Monaco",NULL,"155"
110,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","NL","Netherlands",NULL,"155"
111,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","BG","Bulgaria",NULL,"151"
112,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","BY","Belarus",NULL,"151"
113,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","CZ","Czechia",NULL,"151"
114,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","HU","Hungary",NULL,"151"
115,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","MD","Moldova,Republicof",NULL,"151"
116,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","PL","Poland",NULL,"151"
117,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","RO","Romania",NULL,"151"
118,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","RU","RussianFederation",NULL,"151"
119,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","SK","Slovakia",NULL,"151"
120,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","UA","Ukraine",NULL,"151"
121,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","AD","Andorra",NULL,"039"
122,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","AL","Albania",NULL,"039"
123,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","BA","BosniaandHerzegovina",NULL,"039"
124,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","ES","Spain",NULL,"039"
125,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","GI","Gibraltar",NULL,"039"
126,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","GR","Greece",NULL,"039"
127,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","HR","Croatia",NULL,"039"
128,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","IT","Italy",NULL,"039"
129,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","ME","Montenegro",NULL,"039"
130,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","MK","Macedonia,theformerYugoslavRepublicof",NULL,"039"
131,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","MT","Malta",NULL,"039"
132,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","RS","Serbia",NULL,"039"
133,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","PT","Portugal",NULL,"039"
134,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","SI","Slovenia",NULL,"039"
135,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","SM","SanMarino",NULL,"039"
136,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","VA","HolySee",NULL,"039"
137,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","BM","Bermuda",NULL,"021"
138,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","CA","Canada",NULL,"021"
139,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","GL","Greenland",NULL,"021"
140,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","PM","SaintPierreandMiquelon",NULL,"021"
141,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","US","UnitedStatesofAmerica",NULL,"021"
142,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","AG","AntiguaandBarbuda",NULL,"029"
143,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","AI","Anguilla",NULL,"029"
144,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","AW","Aruba",NULL,"029"
145,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","BB","Barbados",NULL,"029"
146,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","BL","SaintBarthélemy",NULL,"029"
147,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","BS","Bahamas",NULL,"029"
148,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","CU","Cuba",NULL,"029"
149,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","DM","Dominica",NULL,"029"
150,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","DO","DominicanRepublic",NULL,"029"
151,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","GD","Grenada",NULL,"029"
152,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","GP","Guadeloupe",NULL,"029"
153,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","HT","Haiti",NULL,"029"
154,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","JM","Jamaica",NULL,"029"
155,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","KN","SaintKittsandNevis",NULL,"029"
156,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","KY","CaymanIslands",NULL,"029"
157,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","LC","SaintLucia",NULL,"029"
158,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","MF","SaintMartin(Frenchpart)",NULL,"029"
159,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","MQ","Martinique",NULL,"029"
160,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","MS","Montserrat",NULL,"029"
161,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","PR","PuertoRico",NULL,"029"
162,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","TC","TurksandCaicosIslands",NULL,"029"
163,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","TT","TrinidadandTobago",NULL,"029"
164,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","VC","SaintVincentandtheGrenadines",NULL,"029"
165,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","VG","VirginIslands,British",NULL,"029"
166,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","VI","VirginIslands,U.S.",NULL,"029"
167,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","BZ","Belize",NULL,"013"
168,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","CR","CostaRica",NULL,"013"
169,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","GT","Guatemala",NULL,"013"
170,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","HN","Honduras",NULL,"013"
171,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","MX","Mexico",NULL,"013"
172,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","NI","Nicaragua",NULL,"013"
173,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","PA","Panama",NULL,"013"
174,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","SV","ElSalvador",NULL,"013"
175,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","AR","Argentina",NULL,"005"
176,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","BO","Bolivia,PlurinationalStateof",NULL,"005"
177,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","BR","Brazil",NULL,"005"
178,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","CL","Chile",NULL,"005"
179,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","CO","Colombia",NULL,"005"
180,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","EC","Ecuador",NULL,"005"
181,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","FK","FalklandIslands(Malvinas)",NULL,"005"
182,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","GF","FrenchGuiana",NULL,"005"
183,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","GY","Guyana",NULL,"005"
184,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","PE","Peru",NULL,"005"
185,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","PY","Paraguay",NULL,"005"
186,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","SR","Suriname",NULL,"005"
187,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","UY","Uruguay",NULL,"005"
188,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","VE","Venezuela,BolivarianRepublicof",NULL,"005"
189,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","TM","Turkmenistan",NULL,"143"
190,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","TJ","Tajikistan",NULL,"143"
191,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","KG","Kyrgyzstan",NULL,"143"
192,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","KZ","Kazakhstan",NULL,"143"
193,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","UZ","Uzbekistan",NULL,"143"
194,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","CN","China",NULL,"030"
195,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","HK","HongKong",NULL,"030"
196,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","JP","Japan",NULL,"030"
197,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","KP","Korea,DemocraticPeople'sRepublicof",NULL,"030"
198,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","KR","Korea,Republicof",NULL,"030"
199,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","MN","Mongolia",NULL,"030"
200,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","MO","Macao",NULL,"030"
201,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","TW","Taiwan,ProvinceofChina",NULL,"030"
202,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","AF","Afghanistan",NULL,"034"
203,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","BD","Bangladesh",NULL,"034"
204,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","BT","Bhutan",NULL,"034"
205,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","IN","India",NULL,"034"
206,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","IR","Iran,IslamicRepublicof",NULL,"034"
207,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","LK","SriLanka",NULL,"034"
208,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","MV","Maldives",NULL,"034"
209,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","NP","Nepal",NULL,"034"
210,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","PK","Pakistan",NULL,"034"
211,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","BN","BruneiDarussalam",NULL,"035"
212,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","ID","Indonesia",NULL,"035"
213,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","KH","Cambodia",NULL,"035"
214,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","LA","LaoPeople'sDemocraticRepublic",NULL,"035"
215,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","MM","Myanmar",NULL,"035"
216,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","MY","Malaysia",NULL,"035"
217,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","PH","Philippines",NULL,"035"
218,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","SG","Singapore",NULL,"035"
219,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","TH","Thailand",NULL,"035"
220,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","TL","Timor-Leste",NULL,"035"
221,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","VN","VietNam",NULL,"035"
222,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","AE","UnitedArabEmirates",NULL,"145"
223,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","AM","Armenia",NULL,"145"
224,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","AZ","Azerbaijan",NULL,"145"
225,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","BH","Bahrain",NULL,"145"
226,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","CY","Cyprus",NULL,"145"
227,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","GE","Georgia",NULL,"145"
228,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","IL","Israel",NULL,"145"
229,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","IQ","Iraq",NULL,"145"
230,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","JO","Jordan",NULL,"145"
231,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","KW","Kuwait",NULL,"145"
232,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","LB","Lebanon",NULL,"145"
233,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","OM","Oman",NULL,"145"
234,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","PS","Palestine,Stateof",NULL,"145"
235,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","QA","Qatar",NULL,"145"
236,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","SA","SaudiArabia",NULL,"145"
237,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","SY","SyrianArabRepublic",NULL,"145"
238,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","TR","Turkey",NULL,"145"
239,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","YE","Yemen",NULL,"145"
240,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","AU","Australia",NULL,"053"
241,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","NF","NorfolkIsland",NULL,"053"
242,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","NZ","NewZealand",NULL,"053"
243,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","FJ","Fiji",NULL,"054"
244,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","NC","NewCaledonia",NULL,"054"
245,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","PG","PapuaNewGuinea",NULL,"054"
246,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","SB","SolomonIslands",NULL,"054"
247,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","VU","Vanuatu",NULL,"054"
248,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","FM","Micronesia,FederatedStatesof",NULL,"057"
249,"2017-05-18 22:59:23","2017-05-18 22:59:23","country","GU","Guam",NULL,"057"
